Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/dashboard/stats,42,0,11000.0,16515.23347380862,8053.2489999895915,50297.403100004885,2161.7380952380954,0.5037858587239613,0.0,11000,19000,22000,26000,30000,39000,50000,50000,50000,50000,50000
GET,GET /api/v1/employees/,148,0,12000.0,20072.123414865117,8025.347099988721,49799.65780000202,1353.195945945946,1.775245406932054,0.0,13000,24000,31000,34000,45000,48000,49000,50000,50000,50000,50000
GET,GET /api/v1/employees/{id},99,0,8300.0,8802.712250505034,8021.7990999808535,13900.31490000547,258.85858585858585,1.187495238420766,0.0,8300,8400,8500,8700,10000,13000,14000,14000,14000,14000,14000
PATCH,PATCH /api/v1/employees/{id}/transition,7,7,40,280.3779999999928,18.83400001679547,1726.0444999847095,85.85714285714286,0.08396430978732689,0.08396430978732689,40,40,83,83,1700,1700,1700,1700,1700,1700,1700
,Aggregated,296,7,8700.0,15330.22037195945,18.83400001679547,50297.403100004885,1071.9391891891892,3.550490813864108,0.08396430978732689,8700,12000,19000,24000,36000,46000,49000,50000,50000,50000,50000
