Method,Name,Error,Occurrences
GET,GET /api/v1/employees,HTTPError('500 Server Error: Internal Server Error for url: GET /api/v1/employees'),1
PATCH,PATCH /api/v1/employees/{id}/transition,HTTPError('400 Client Error: Bad Request for url: PATCH /api/v1/employees/{id}/transition'),15
